Z	A	FPS	Yield	Uncertainty					
23	66	0	2.05E-19	1.31E-19					
27	66	0	2.81E-10	1.80E-10					
24	66	0	2.41E-14	1.54E-14					
25	66	0	7.20E-12	4.61E-12					
26	66	0	3.76E-10	2.41E-10					
28	66	0	5.78E-11	3.70E-11					
29	66	0	1.43E-13	9.15E-14					
25	67	0	5.38E-12	3.44E-12					
26	67	0	6.87E-10	4.40E-10					
28	67	0	9.04E-10	5.79E-10					
29	67	0	9.68E-12	6.19E-12					
27	67	0	2.00E-09	1.28E-09					
27	68	0	2.47E-09	1.58E-09					
29	68	1	7.36E-11	4.71E-11					
25	68	0	6.66E-13	4.26E-13					
26	68	0	3.92E-10	2.51E-10					
28	68	0	4.19E-09	2.68E-09					
29	68	0	3.15E-11	2.02E-11					
30	68	0	4.74E-13	3.03E-13					
24	69	0	2.11E-18	1.35E-18					
25	69	0	8.03E-14	5.14E-14					
26	69	0	1.22E-10	7.81E-11					
28	69	0	1.12E-08	7.17E-09					
30	69	0	2.48E-12	1.59E-12					
27	69	0	3.25E-09	2.08E-09					
29	69	0	1.14E-09	7.30E-10					
30	69	1	1.06E-11	6.78E-12					
27	70	0	2.09E-09	1.34E-09					
29	70	0	1.49E-09	9.54E-10					
30	70	0	3.03E-10	1.94E-10					
26	70	0	3.24E-11	2.07E-11					
28	70	0	2.78E-08	1.78E-08					
29	70	1	4.46E-09	2.85E-09					
31	70	0	1.47E-13	9.41E-14					
26	71	0	4.92E-12	3.15E-12					
28	71	0	4.35E-08	2.78E-08					
29	71	0	3.48E-08	2.23E-08					
30	71	1	3.29E-09	2.11E-09					
31	71	0	9.39E-12	6.01E-12					
27	71	0	1.48E-09	9.47E-10					
30	71	0	7.71E-10	4.93E-10					
27	72	0	5.80E-10	3.71E-10					
31	72	0	1.93E-10	1.24E-10					
32	72	0	3.64E-13	2.33E-13					
25	72	0	6.08E-18	3.89E-18					
26	72	0	7.15E-13	4.58E-13					
28	72	0	7.60E-08	4.86E-08					
29	72	0	1.27E-07	8.13E-08					
30	72	0	6.10E-08	3.90E-08					
31	72	1	1.93E-10	1.24E-10					
25	73	0	6.41E-19	4.10E-19					
26	73	0	5.54E-14	3.55E-14					
28	73	0	7.13E-08	4.56E-08					
29	73	0	4.71E-07	3.01E-07					
30	73	0	4.63E-07	2.96E-07					
32	73	1	5.59E-12	3.58E-12					
27	73	0	2.21E-10	1.41E-10					
31	73	0	1.21E-08	7.74E-09					
32	73	0	2.38E-11	1.52E-11					
27	74	0	3.00E-11	1.92E-11					
31	74	1	7.30E-08	4.67E-08					
33	74	0	4.99E-14	3.19E-14					
28	74	0	4.58E-08	2.93E-08					
29	74	0	6.82E-07	4.36E-07					
30	74	0	2.51E-06	1.61E-06					
31	74	0	7.30E-08	4.67E-08					
32	74	0	1.67E-09	1.07E-09					
33	74	1	1.16E-13	7.42E-14					
28	75	0	1.53E-08	9.79E-09					
29	75	0	1.01E-06	6.46E-07					
30	75	0	7.67E-06	4.91E-06					
31	75	0	1.93E-06	1.24E-06					
32	75	0	6.81E-09	4.36E-09					
33	75	0	2.56E-11	1.64E-11					
26	75	0	1.00E-16	6.40E-17					
27	75	0	3.81E-12	2.44E-12					
32	75	1	4.56E-08	2.92E-08					
27	76	0	2.53E-13	1.62E-13					
32	76	0	1.30E-06	8.32E-07					
28	76	0	5.02E-09	3.21E-09					
29	76	0	8.28E-07	5.30E-07					
30	76	0	1.84E-05	1.18E-05					
31	76	0	1.05E-05	6.69E-06					
33	76	0	1.65E-09	1.06E-09					
34	76	0	3.04E-13	1.95E-13					
28	77	0	5.64E-10	3.61E-10					
29	77	0	4.45E-07	2.85E-07					
30	77	0	3.14E-05	2.01E-05					
31	77	0	4.08E-05	2.61E-05					
32	77	1	8.91E-07	5.70E-07					
33	77	0	4.31E-08	2.76E-08					
34	77	0	2.75E-12	1.76E-12					
27	77	0	6.53E-15	4.18E-15					
32	77	0	5.96E-06	3.81E-06					
34	77	1	1.84E-11	1.18E-11					
27	78	0	4.28E-16	2.74E-16					
34	78	0	2.47E-09	1.58E-09					
28	78	0	5.03E-11	3.22E-11					
29	78	0	1.09E-07	6.98E-08					
30	78	0	3.56E-05	2.28E-05					
31	78	0	1.03E-04	6.58E-05					
32	78	0	6.94E-05	4.44E-05					
33	78	0	1.30E-06	2.99E-07					
35	78	0	4.94E-14	3.16E-14					
30	79	0	1.64E-05	7.37E-06					
31	79	0	1.71E-04	1.88E-05					
32	79	1	1.16E-04	7.44E-05					
33	79	0	2.66E-05	1.20E-05					
34	79	1	1.65E-08	1.06E-08					
35	79	0	3.11E-12	1.99E-12					
32	79	0	1.16E-04	7.44E-05					
34	79	0	1.10E-07	7.04E-08					
35	79	1	1.04E-11	6.66E-12					
28	80	0	1.56E-14	9.98E-15					
29	80	0	5.25E-10	3.36E-10					
32	80	0	0.00101818	4.07E-05					
35	80	0	3.71E-10	2.37E-10					
30	80	0	2.42E-06	1.55E-06					
31	80	0	1.17E-04	1.87E-05					
33	80	0	1.37E-04	8.76E-05					
34	80	0	4.89E-06	3.13E-06					
35	80	1	1.11E-09	7.10E-10					
36	80	0	6.25E-14	4.00E-14					
31	81	0	8.18E-05	2.62E-05					
33	81	0	6.09E-04	4.87E-05					
34	81	0	1.04E-05	2.39E-06					
35	81	0	8.86E-08	5.67E-08					
36	81	0	9.43E-12	6.03E-12					
32	81	0	0.00126259	5.05E-05					
34	81	1	6.93E-05	1.59E-05					
36	81	1	1.41E-12	9.02E-13					
30	82	0	1.08E-07	6.91E-08					
32	82	0	0.00126469	5.06E-05					
33	82	1	2.71E-04	1.73E-04					
34	82	0	3.71E-04	2.97E-05					
35	82	1	1.63E-07	1.04E-07					
36	82	0	3.35E-10	2.14E-10					
29	82	0	1.48E-12	9.47E-13					
31	82	0	6.26E-05	4.01E-05					
33	82	0	0.0012875	8.24E-04					
35	82	0	3.83E-07	2.45E-07					
29	83	0	7.31E-15	4.68E-15					
31	83	0	1.92E-06	1.23E-06					
34	83	1	3.35E-04	2.01E-05					
36	83	1	1.55E-08	9.92E-09					
37	83	0	2.30E-12	1.47E-12					
30	83	0	6.32E-10	4.04E-10					
32	83	0	4.79E-04	3.06E-04					
33	83	0	0.00290689	1.16E-04					
34	83	0	0.0014292	8.58E-05					
35	83	0	1.95E-04	3.13E-05					
36	83	0	6.63E-08	4.24E-08					
30	84	0	1.22E-08	7.81E-09					
32	84	0	1.90E-04	4.37E-05					
33	84	1	9.87E-04	6.32E-04					
35	84	0	1.86E-04	2.04E-05					
31	84	0	1.11E-04	7.08E-05					
33	84	0	9.87E-04	6.32E-04					
34	84	0	0.00630945	1.26E-04					
35	84	1	1.67E-04	1.34E-05					
36	84	0	3.25E-06	2.08E-06					
37	84	0	2.16E-11	1.38E-11					
31	85	0	5.88E-09	3.76E-09					
33	85	0	0.00121362	7.77E-04					
34	85	0	0.00446688	0.00285881					
35	85	0	0.00235019	1.41E-04					
36	85	0	2.55E-04	4.09E-05					
37	85	0	2.37E-05	1.52E-05					
38	85	0	3.92E-13	2.51E-13					
30	85	0	1.54E-13	9.88E-14					
32	85	0	2.13E-05	1.36E-05					
34	85	1	0.00446688	0.00285881					
36	85	1	5.89E-05	9.42E-06					
38	85	1	3.92E-13	2.51E-13					
30	86	0	2.28E-12	1.46E-12					
32	86	0	0.00628666	0.00100586					
34	86	0	0.00835835	2.34E-04					
35	86	1	0.00229736	0.00147031					
36	86	0	8.72E-04	6.98E-05					
37	86	0	3.22E-08	2.06E-08					
31	86	0	3.28E-07	2.10E-07					
33	86	0	1.99E-04	1.28E-04					
35	86	0	0.00229736	6.43E-05					
37	86	1	3.22E-08	2.06E-08					
38	86	0	1.19E-10	7.62E-11					
31	87	0	2.54E-10	1.63E-10					
33	87	0	5.05E-04	3.23E-04					
38	87	0	1.07E-08	6.85E-09					
32	87	0	2.20E-05	1.41E-05					
34	87	0	0.00731048	2.92E-04					
35	87	0	0.0127177	3.56E-04					
36	87	0	0.00463375	2.78E-04					
37	87	0	2.50E-05	1.60E-05					
38	87	1	2.51E-09	1.61E-09					
39	87	0	1.00E-13	6.40E-14					
32	88	0	5.20E-07	3.33E-07					
34	88	0	0.00267874	1.61E-04					
35	88	0	0.0138742	2.77E-04					
36	88	0	0.0173221	6.93E-04					
37	88	0	2.23E-04	1.78E-05					
38	88	0	7.68E-07	4.91E-07					
39	88	0	1.70E-11	1.09E-11					
31	88	0	4.42E-12	2.83E-12					
33	88	0	0.00124298	7.96E-04					
33	89	0	1.54E-06	9.86E-07					
39	89	1	1.88E-09	1.20E-09					
40	89	0	2.07E-14	1.32E-14					
32	89	0	4.04E-11	2.59E-11					
34	89	0	4.85E-04	5.34E-05					
35	89	0	0.0103927	4.16E-04					
36	89	0	0.0343845	4.81E-04					
37	89	0	0.00204542	8.18E-05					
38	89	0	1.75E-04	1.12E-04					
39	89	0	4.40E-10	2.82E-10					
32	90	0	1.17E-12	7.49E-13					
34	90	0	1.27E-04	8.13E-05					
35	90	0	0.00552553	3.32E-04					
36	90	0	0.0439695	6.16E-04					
37	90	0	0.00138623	8.32E-05					
38	90	0	7.37E-04	4.42E-05					
39	90	0	4.48E-08	2.87E-08					
40	90	0	2.09E-12	1.34E-12					
33	90	0	3.28E-08	2.10E-08					
37	90	1	0.0070662	0.00452237					
39	90	1	4.48E-08	2.87E-08					
40	90	1	2.09E-12	1.34E-12					
33	91	0	2.34E-09	1.50E-09					
37	91	0	0.0222492	3.11E-04					
39	91	0	1.65E-06	1.06E-06					
32	91	0	6.14E-14	3.93E-14					
34	91	0	6.66E-06	4.26E-06					
35	91	0	0.00223704	2.46E-04					
36	91	0	0.0315598	3.16E-04					
38	91	0	0.00250483	1.50E-04					
39	91	1	1.65E-06	1.06E-06					
40	91	0	4.42E-10	2.83E-10					
34	92	0	4.17E-07	2.67E-07					
35	92	0	2.68E-04	1.71E-04					
36	92	0	0.016581	4.64E-04					
38	92	0	0.0107518	6.45E-04					
40	92	0	1.19E-04	7.61E-05					
33	92	0	3.55E-12	2.27E-12					
37	92	0	0.0313173	6.26E-04					
39	92	0	7.15E-04	3.22E-04					
41	92	0	2.27E-13	1.45E-13					
33	93	0	2.84E-13	1.82E-13					
37	93	0	0.0306672	4.29E-04					
39	93	1	5.43E-04	3.48E-04					
41	93	0	3.62E-11	2.32E-11					
34	93	0	2.46E-08	1.57E-08					
35	93	0	3.08E-05	1.97E-05					
36	93	0	0.00486312	1.95E-04					
38	93	0	0.0256971	5.14E-04					
39	93	0	5.43E-04	3.48E-04					
40	93	0	1.37E-06	8.77E-07					
41	93	1	8.49E-12	5.43E-12					
34	94	0	1.71E-10	1.09E-10					
35	94	0	1.66E-06	1.06E-06					
36	94	0	8.68E-04	9.55E-05					
38	94	0	0.0451267	6.32E-04					
39	94	0	0.00389833	3.12E-04					
40	94	0	1.95E-04	1.25E-04					
41	94	0	1.46E-09	9.34E-10					
37	94	0	0.0156647	4.39E-04					
41	94	1	1.01E-09	6.46E-10					
42	94	0	3.00E-14	1.92E-14					
37	95	0	0.00763687	3.05E-04					
41	95	0	1.06E-06	6.78E-07					
42	95	0	4.94E-12	3.16E-12					
34	95	0	6.63E-13	4.24E-13					
35	95	0	2.52E-08	1.62E-08					
36	95	0	7.19E-05	4.60E-05					
38	95	0	0.0453728	9.07E-04					
39	95	0	0.011054	0.00353729					
40	95	0	0.00127244	2.04E-04					
41	95	1	2.48E-07	1.59E-07					
34	96	0	1.28E-13	8.19E-14					
35	96	0	1.91E-08	1.22E-08					
36	96	0	3.78E-04	2.42E-04					
38	96	0	0.0356811	7.14E-04					
39	96	0	0.00224388	0.00143608					
40	96	0	0.0033705	3.71E-04					
41	96	0	5.44E-06	3.48E-06					
37	96	0	0.00168422	1.35E-04					
39	96	1	0.020195	0.00646239					
42	96	0	5.33E-10	3.41E-10					
37	97	0	3.79E-04	3.03E-05					
39	97	1	0.0157025	0.0100496					
41	97	1	2.45E-05	5.63E-06					
42	97	0	2.49E-08	1.59E-08					
43	97	1	8.80E-14	5.63E-14					
35	97	0	3.44E-12	2.20E-12					
36	97	0	2.97E-07	1.90E-07					
38	97	0	0.0172068	4.82E-04					
39	97	0	0.0157025	0.0100496					
40	97	0	0.0109237	6.55E-04					
41	97	0	1.08E-04	1.72E-05					
43	97	0	8.80E-14	5.63E-14					
35	98	0	1.39E-10	8.89E-11					
36	98	0	1.63E-05	1.05E-05					
38	98	0	0.00808091	4.85E-04					
39	98	0	0.0110632	0.00354023					
40	98	0	0.0257356	0.011581					
41	98	1	3.85E-04	2.47E-04					
43	98	0	8.89E-09	5.69E-09					
37	98	0	2.36E-05	1.06E-05					
39	98	1	0.0110632	0.00354023					
41	98	0	0.00115633	7.40E-04					
42	98	0	9.58E-07	6.13E-07					
37	99	0	4.68E-07	2.99E-07					
39	99	0	0.0194933	0.0011696					
41	99	1	0.00406579	3.25E-04					
42	99	0	4.28E-04	6.85E-05					
43	99	1	2.89E-10	1.85E-10					
44	99	0	1.10E-14	7.04E-15					
36	99	0	1.23E-11	7.86E-12					
38	99	0	0.00133158	1.46E-04					
40	99	0	0.0358394	0.00824306					
41	99	0	3.00E-04	3.30E-05					
43	99	0	1.23E-09	7.87E-10					
36	100	0	1.15E-08	7.36E-09					
38	100	0	8.15E-05	5.22E-05					
40	100	0	0.0497641	0.0159245					
41	100	1	0.00318902	0.00204098					
37	100	0	3.48E-04	2.22E-04					
39	100	0	0.00567391	0.0036313					
41	100	0	0.00318902	0.00204098					
42	100	0	7.29E-04	2.33E-04					
43	100	0	5.59E-08	3.58E-08					
44	100	0	2.12E-12	1.36E-12					
37	101	0	1.58E-08	1.01E-08					
39	101	0	0.00278002	3.06E-04					
42	101	0	0.00185841	2.97E-04					
43	101	0	1.61E-06	1.03E-06					
44	101	0	1.62E-10	1.04E-10					
45	101	0	3.26E-13	2.09E-13					
36	101	0	4.14E-13	2.65E-13					
38	101	0	4.49E-05	2.87E-05					
40	101	0	0.0278782	0.00111513					
41	101	0	0.0191624	7.66E-04					
38	102	0	1.73E-06	1.11E-06					
40	102	0	0.0178133	7.13E-04					
41	102	1	0.0078944	0.00505242					
43	102	1	9.55E-05	6.11E-05					
45	102	1	4.73E-12	3.03E-12					
37	102	0	1.47E-11	9.42E-12					
39	102	0	0.00267979	0.00171507					
41	102	0	0.0078944	0.00505242					
42	102	0	0.00650731	5.21E-04					
43	102	0	9.55E-05	6.11E-05					
44	102	0	9.76E-09	6.25E-09					
45	102	0	5.91E-12	3.78E-12					
37	103	0	2.38E-13	1.52E-13					
39	103	0	2.58E-05	1.65E-05					
41	103	0	0.0141029	0.00324366					
42	103	0	0.0103685	6.22E-04					
44	103	0	2.36E-07	1.51E-07					
45	103	1	4.27E-12	2.73E-12					
38	103	0	2.06E-08	1.32E-08					
40	103	0	0.00498868	0.00319275					
43	103	0	8.22E-04	5.26E-04					
45	103	0	6.38E-13	4.08E-13					
38	104	0	1.31E-09	8.38E-10					
40	104	0	8.28E-04	1.32E-04					
41	104	0	0.00285216	0.00182538					
43	104	0	9.26E-04	1.48E-04					
45	104	1	1.47E-10	9.41E-11					
39	104	0	5.68E-06	3.63E-06					
41	104	1	0.00285216	0.00182538					
42	104	0	0.0112745	6.76E-04					
44	104	0	3.27E-06	2.09E-06					
45	104	0	4.89E-11	3.13E-11					
39	105	0	4.67E-12	2.99E-12					
42	105	0	0.00668015	2.67E-04					
44	105	0	1.11E-09	7.10E-10					
40	105	0	0.00115837	7.41E-04					
41	105	0	0.00138613	1.11E-04					
43	105	0	4.85E-04	3.10E-04					
40	106	0	1.68E-08	1.08E-08					
41	106	0	1.57E-04	1.01E-04					
43	106	0	2.68E-04	1.71E-04					
39	106	0	4.98E-17	3.19E-17					
42	106	0	0.0035919	1.44E-04					
44	106	0	9.07E-09	5.80E-09					
39	107	0	6.28E-18	4.02E-18					
42	107	0	0.00121442	7.77E-04					
44	107	0	4.94E-08	3.16E-08					
40	107	0	1.56E-09	9.97E-10					
41	107	0	2.31E-05	1.48E-05					
43	107	0	2.24E-04	1.44E-04					
40	108	0	3.10E-12	1.98E-12					
41	108	0	9.00E-07	5.76E-07					
43	108	0	2.38E-04	1.52E-04					
39	108	0	9.19E-21	5.88E-21					
42	108	0	3.02E-04	1.93E-04					
44	108	0	1.67E-07	1.07E-07					
39	109	0	4.46E-14	2.85E-14					
42	109	0	1.55E-04	9.94E-05					
44	109	1	8.56E-06	5.48E-06					
45	109	1	2.06E-08	1.32E-08					
46	109	1	5.46E-12	3.49E-12					
40	109	0	3.85E-09	2.47E-09					
41	109	0	4.84E-06	3.09E-06					
43	109	0	1.34E-04	8.60E-05					
44	109	0	8.56E-06	5.48E-06					
45	109	0	2.06E-08	1.32E-08					
46	109	0	2.94E-12	1.88E-12					
40	110	0	9.29E-11	5.95E-11					
41	110	0	1.53E-07	9.79E-08					
43	110	0	1.16E-04	7.45E-05					
44	110	0	9.89E-05	6.33E-05					
45	110	1	5.65E-07	3.62E-07					
39	110	0	7.90E-16	5.06E-16					
42	110	0	3.89E-05	2.49E-05					
45	110	0	5.65E-07	3.62E-07					
46	110	0	2.15E-09	1.38E-09					
47	110	1	2.28E-14	1.46E-14					
42	111	0	2.28E-06	1.46E-06					
46	111	0	2.54E-08	1.63E-08					
47	111	0	1.24E-12	7.94E-13					
40	111	0	2.10E-14	1.34E-14					
41	111	0	8.00E-10	5.12E-10					
43	111	0	4.49E-05	2.87E-05					
44	111	0	1.18E-04	7.57E-05					
45	111	0	8.80E-06	5.63E-06					
46	111	1	4.72E-08	3.02E-08					
47	111	1	8.28E-12	5.30E-12					
40	112	0	8.89E-16	5.69E-16					
41	112	0	2.49E-11	1.59E-11					
43	112	0	6.86E-06	4.39E-06					
44	112	0	9.92E-05	6.35E-05					
45	112	0	2.30E-05	1.47E-05					
46	112	0	1.28E-06	8.19E-07					
47	112	0	8.29E-09	5.31E-09					
42	112	0	9.65E-08	6.17E-08					
48	112	0	1.06E-11	3.39E-12					
42	113	0	1.11E-09	7.13E-10					
47	113	1	3.62E-08	2.32E-08					
48	113	0	2.59E-12	1.66E-12					
41	113	0	1.29E-14	8.25E-15					
43	113	0	1.40E-06	8.95E-07					
44	113	0	6.05E-05	3.87E-05					
45	113	0	6.84E-05	4.38E-05					
46	113	0	1.16E-05	7.44E-06					
47	113	0	5.42E-09	3.47E-09					
48	113	1	8.68E-12	5.55E-12					
41	114	0	3.74E-16	2.40E-16					
43	114	0	7.01E-08	4.49E-08					
44	114	0	1.73E-05	1.10E-05					
45	114	0	5.03E-05	3.22E-05					
46	114	0	4.16E-05	2.66E-05					
48	114	0	7.65E-10	4.90E-10					
42	114	0	4.40E-11	2.82E-11					
47	114	0	9.17E-06	5.87E-06					
42	115	0	2.37E-14	1.52E-14					
47	115	0	1.93E-06	1.24E-06					
48	115	1	5.53E-08	1.77E-08					
49	115	0	1.63E-12	1.04E-12					
43	115	0	9.02E-10	5.77E-10					
44	115	0	2.57E-06	1.64E-06					
45	115	0	3.63E-05	2.32E-05					
46	115	0	7.13E-05	4.56E-05					
47	115	1	1.37E-05	8.77E-06					
48	115	0	9.00E-09	2.88E-09					
49	115	1	3.82E-13	2.44E-13					
43	116	0	6.31E-11	4.04E-11					
44	116	0	2.46E-07	1.57E-07					
45	116	0	8.69E-06	5.56E-06					
46	116	0	6.82E-05	4.36E-05					
47	116	0	4.74E-05	3.04E-05					
49	116	2	2.57E-11	1.64E-11					
49	116	1	2.57E-11	1.64E-11					
47	116	1	7.65E-06	4.90E-06					
48	116	0	3.00E-07	1.92E-07					
49	116	0	2.57E-11	1.64E-11					
47	117	0	1.52E-05	3.49E-06					
48	117	0	1.12E-06	7.17E-07					
49	117	1	8.59E-10	5.50E-10					
50	117	0	2.49E-13	1.60E-13					
42	117	0	2.32E-16	1.49E-16					
43	117	0	8.84E-12	5.66E-12					
44	117	0	2.52E-08	1.61E-08					
45	117	0	4.65E-06	2.98E-06					
46	117	0	8.77E-05	5.61E-05					
47	117	1	1.52E-05	3.49E-06					
48	117	1	3.73E-06	2.39E-06					
49	117	0	3.66E-09	2.34E-09					
50	117	1	2.49E-13	1.60E-13					
43	118	0	5.89E-15	3.77E-15					
44	118	0	6.92E-10	4.43E-10					
45	118	0	3.63E-07	2.32E-07					
46	118	0	3.18E-05	2.03E-05					
47	118	0	3.42E-05	7.86E-06					
48	118	0	1.71E-05	1.10E-05					
49	118	0	5.06E-08	3.24E-08					
47	118	1	2.99E-05	1.92E-05					
49	118	2	8.45E-09	5.41E-09					
49	118	1	8.45E-09	5.41E-09					
50	118	0	4.10E-11	2.62E-11					
47	119	0	7.25E-05	2.32E-05					
48	119	1	2.25E-05	1.44E-05					
49	119	0	4.72E-06	1.51E-06					
50	119	0	3.40E-10	2.18E-10					
