Z	A	FPS	Yield	Uncertainty					
51	119	0	3.89E-14	2.49E-14					
43	119	0	7.58E-17	4.85E-17					
44	119	0	6.55E-12	4.19E-12					
45	119	0	1.86E-08	1.19E-08					
46	119	0	4.35E-06	2.78E-06					
48	119	0	2.45E-05	1.57E-05					
49	119	1	1.59E-07	1.02E-07					
50	119	1	1.14E-09	7.30E-10					
44	120	0	3.03E-12	1.94E-12					
45	120	0	2.39E-08	1.53E-08					
46	120	0	2.71E-05	1.73E-05					
47	120	0	4.37E-06	2.80E-06					
49	120	2	2.10E-06	1.34E-06					
49	120	1	2.10E-06	1.34E-06					
50	120	0	3.00E-08	1.92E-08					
51	120	1	1.30E-12	8.32E-13					
47	120	1	4.37E-06	2.80E-06					
48	120	0	8.39E-05	5.37E-05					
49	120	0	2.10E-06	1.34E-06					
51	120	0	9.03E-13	5.78E-13					
48	121	1	3.62E-05	2.32E-05					
49	121	1	3.24E-06	2.07E-06					
50	121	1	2.79E-07	1.79E-07					
44	121	0	3.78E-15	2.42E-15					
45	121	0	1.44E-10	9.22E-11					
46	121	0	4.73E-07	3.03E-07					
47	121	0	2.58E-05	1.65E-05					
48	121	0	3.62E-05	2.32E-05					
49	121	0	2.47E-05	7.91E-06					
50	121	0	3.58E-06	2.29E-06					
51	121	0	3.53E-11	1.13E-11					
45	122	0	2.85E-12	1.82E-12					
46	122	0	4.77E-08	3.05E-08					
47	122	1	3.34E-06	2.14E-06					
48	122	0	1.19E-04	7.64E-05					
49	122	0	8.38E-06	5.36E-06					
51	122	0	1.84E-09	1.18E-09					
52	122	0	6.10E-13	3.90E-13					
47	122	0	3.34E-06	2.14E-06					
49	122	2	8.38E-06	5.36E-06					
49	122	1	8.38E-06	5.36E-06					
50	122	0	3.65E-06	2.34E-06					
51	122	1	2.08E-09	1.33E-09					
47	123	0	2.75E-06	1.76E-06					
49	123	0	3.91E-05	2.50E-05					
50	123	0	8.04E-06	3.62E-06					
51	123	0	5.17E-08	3.31E-08					
52	123	1	1.72E-11	1.10E-11					
45	123	0	8.52E-14	5.45E-14					
46	123	0	3.99E-09	2.55E-09					
48	123	0	1.01E-04	6.46E-05					
49	123	1	2.51E-06	1.61E-06					
50	123	1	3.10E-06	9.92E-07					
52	123	0	5.14E-12	3.29E-12					
45	124	0	1.04E-14	6.66E-15					
46	124	0	2.73E-09	1.75E-09					
48	124	0	1.21E-04	5.46E-05					
49	124	1	1.70E-05	1.09E-05					
50	124	0	1.07E-04	6.84E-05					
51	124	0	7.61E-08	4.87E-08					
47	124	0	5.52E-06	3.53E-06					
49	124	0	1.70E-05	1.09E-05					
51	124	2	1.21E-08	7.74E-09					
51	124	1	1.21E-08	7.74E-09					
52	124	0	3.42E-09	2.19E-09					
47	125	0	1.66E-11	1.06E-11					
49	125	0	4.72E-05	1.51E-05					
50	125	1	1.05E-04	1.67E-05					
51	125	0	2.74E-07	1.75E-07					
52	125	0	6.88E-14	4.40E-14					
48	125	0	5.55E-05	3.55E-05					
49	125	1	4.72E-05	1.51E-05					
50	125	0	8.54E-05	6.83E-06					
52	125	1	2.30E-13	1.47E-13					
48	126	0	8.08E-05	5.17E-05					
49	126	1	1.65E-05	1.05E-05					
51	126	0	6.51E-06	4.17E-06					
52	126	0	8.25E-12	5.28E-12					
47	126	0	4.75E-12	3.04E-12					
49	126	0	1.65E-05	1.05E-05					
50	126	0	4.45E-04	2.85E-04					
51	126	2	8.59E-06	5.50E-06					
51	126	1	8.59E-06	5.50E-06					
53	126	0	1.70E-12	1.09E-12					
47	127	0	1.58E-12	1.01E-12					
49	127	0	4.12E-04	1.32E-04					
50	127	0	8.67E-04	5.20E-05					
51	127	0	7.09E-05	1.63E-05					
52	127	1	2.43E-10	1.56E-10					
48	127	0	8.15E-05	5.22E-05					
49	127	1	6.25E-05	2.81E-05					
50	127	1	7.92E-05	5.07E-05					
52	127	0	9.92E-11	6.35E-11					
48	128	0	3.55E-05	2.27E-05					
49	128	1	1.31E-04	8.41E-05					
50	128	1	0.0015049	9.63E-04					
51	128	1	6.37E-05	4.07E-05					
53	128	0	1.04E-08	6.66E-09					
54	128	0	8.33E-13	2.67E-13					
46	128	0	1.34E-14	8.58E-15					
47	128	0	1.12E-13	7.17E-14					
49	128	0	1.31E-04	8.41E-05					
50	128	0	0.0015049	9.63E-04					
51	128	0	1.07E-04	6.83E-05					
52	128	0	1.72E-06	5.50E-07					
47	129	0	2.92E-17	1.87E-17					
49	129	0	2.75E-04	1.24E-04					
50	129	0	0.00230314	2.53E-04					
52	129	0	5.73E-08	3.67E-08					
48	129	0	7.24E-09	4.63E-09					
49	129	1	2.53E-04	1.62E-04					
50	129	1	0.00195858	1.18E-04					
51	129	0	6.41E-04	2.88E-04					
52	129	1	1.40E-07	8.96E-08					
46	130	0	6.79E-13	4.35E-13					
48	130	0	8.78E-04	5.62E-04					
49	130	2	3.14E-05	2.01E-05					
49	130	0	3.14E-05	2.01E-05					
50	130	1	0.00542239	0.00347033					
51	130	0	0.0021451	0.00137286					
52	130	0	5.79E-04	9.26E-05					
53	130	1	6.66E-07	4.26E-07					
47	130	0	6.66E-08	4.26E-08					
49	130	1	3.14E-05	2.01E-05					
50	130	0	0.00542239	0.00347033					
51	130	1	0.00356752	0.00228321					
53	130	0	1.55E-06	9.92E-07					
54	130	0	1.97E-10	6.30E-11					
47	131	0	1.59E-09	1.02E-09					
49	131	0	5.56E-05	3.56E-05					
50	131	1	0.004405	0.0028192					
51	131	0	0.0165069	6.60E-04					
52	131	1	0.00233331	1.87E-04					
54	131	0	1.42E-09	9.09E-10					
55	131	0	2.54E-14	1.63E-14					
48	131	0	1.38E-04	8.82E-05					
49	131	1	5.56E-05	3.56E-05					
50	131	0	0.004405	0.0028192					
52	131	0	9.70E-04	1.07E-04					
53	131	0	3.92E-05	4.31E-06					
54	131	1	3.48E-09	2.23E-09					
50	132	0	0.00591824	2.37E-04					
51	132	1	0.00862766	5.18E-04					
53	132	1	9.13E-05	5.84E-05					
54	132	0	4.22E-07	2.70E-07					
49	132	0	6.23E-05	1.99E-05					
51	132	0	0.0130348	7.82E-04					
52	132	0	0.0153084	9.19E-04					
53	132	0	9.13E-05	5.84E-05					
55	132	0	7.38E-10	4.72E-10					
48	133	0	4.49E-11	2.87E-11					
49	133	0	1.71E-06	1.09E-06					
52	133	0	0.0114813	6.89E-04					
53	133	1	8.25E-04	5.28E-04					
54	133	1	1.89E-05	1.21E-05					
55	133	0	7.92E-09	2.53E-09					
56	133	0	1.04E-14	6.66E-15					
50	133	0	0.0013772	8.81E-04					
51	133	0	0.0225655	0.00135393					
52	133	1	0.0298605	0.00179163					
53	133	0	8.25E-04	5.28E-04					
54	133	0	6.66E-06	4.00E-07					
50	134	0	1.77E-04	1.13E-04					
51	134	1	0.00358248	0.00229279					
52	134	0	0.062155	0.0024862					
53	134	0	0.00500237	3.00E-04					
54	134	1	2.46E-04	1.58E-04					
55	134	0	3.85E-08	2.47E-08					
48	134	0	9.33E-13	5.97E-13					
49	134	0	3.47E-08	2.22E-08					
51	134	0	0.00358248	0.00229279					
53	134	1	0.00364183	0.00233077					
54	134	0	1.05E-04	6.75E-05					
55	134	1	3.85E-08	2.47E-08					
56	134	0	5.26E-12	3.37E-12					
49	135	0	7.26E-11	4.64E-11					
51	135	0	0.00145137	1.16E-04					
53	135	0	0.0292737	8.20E-04					
54	135	1	0.00178122	1.07E-04					
55	135	0	2.45E-06	1.57E-06					
56	135	1	3.82E-10	2.44E-10					
50	135	0	6.27E-06	4.01E-06					
52	135	0	0.0321618	0.00192971					
54	135	0	7.85E-04	4.71E-05					
55	135	1	2.45E-06	1.57E-06					
56	135	0	3.82E-10	2.44E-10					
50	136	0	1.57E-07	1.00E-07					
52	136	0	0.0131733	0.00105387					
53	136	1	0.0125125	7.51E-04					
55	136	0	2.77E-05	1.77E-05					
56	136	1	2.36E-08	1.51E-08					
49	136	0	1.68E-12	1.08E-12					
51	136	0	1.15E-04	7.35E-05					
53	136	0	0.0131936	0.00105549					
54	136	0	0.0219242	0.0098659					
55	136	1	2.77E-05	1.77E-05					
56	136	0	2.36E-08	1.51E-08					
49	137	0	2.15E-12	1.38E-12					
51	137	0	7.43E-04	4.76E-04					
54	137	0	0.031942	8.94E-04					
56	137	0	5.43E-07	3.47E-07					
57	137	0	6.93E-11	4.43E-11					
50	137	0	1.86E-07	1.19E-07					
52	137	0	0.00392386	3.14E-04					
53	137	0	0.0262236	0.00104895					
55	137	0	6.00E-04	6.60E-05					
56	137	1	1.33E-06	8.51E-07					
50	138	0	3.29E-11	2.11E-11					
52	138	0	6.62E-04	4.24E-04					
53	138	0	0.0142412	3.99E-04					
55	138	0	0.00243195	2.68E-04					
56	138	0	4.12E-05	2.63E-05					
58	138	0	4.75E-12	3.04E-12					
51	138	0	3.92E-07	2.51E-07					
54	138	0	0.0481413	0.00134796					
55	138	1	0.00223374	2.46E-04					
57	138	0	3.18E-07	2.04E-07					
51	139	0	1.40E-08	8.96E-09					
54	139	0	0.0432328	8.65E-04					
55	139	0	0.0130586	5.22E-04					
57	139	0	2.27E-07	1.45E-07					
58	139	1	7.03E-12	4.50E-12					
50	139	0	3.68E-13	2.35E-13					
52	139	0	6.66E-05	4.26E-05					
53	139	0	0.00771429	6.17E-04					
56	139	0	6.88E-04	3.09E-04					
58	139	0	2.87E-12	1.84E-12					
52	140	0	1.69E-04	1.08E-04					
53	140	0	0.00136749	3.15E-04					
56	140	0	0.0048836	0.00112323					
51	140	0	1.44E-09	9.21E-10					
54	140	0	0.0350576	9.82E-04					
55	140	0	0.0206988	5.80E-04					
57	140	0	5.22E-05	3.34E-05					
58	140	0	1.15E-09	7.36E-10					
51	141	0	3.75E-12	2.40E-12					
54	141	0	0.0121914	3.41E-04					
55	141	0	0.0291513	5.83E-04					
57	141	0	1.85E-04	2.96E-05					
58	141	0	4.99E-08	3.19E-08					
52	141	0	3.24E-07	2.07E-07					
53	141	0	4.07E-04	9.36E-05					
56	141	0	0.0165949	0.00182544					
59	141	0	4.69E-13	3.00E-13					
52	142	0	2.07E-08	1.32E-08					
53	142	0	5.86E-05	3.75E-05					
56	142	0	0.0301423	0.00180854					
59	142	1	2.31E-11	1.48E-11					
51	142	0	1.76E-13	1.13E-13					
54	142	0	0.00434173	2.61E-04					
55	142	0	0.0227813	6.38E-04					
57	142	0	9.65E-04	3.09E-04					
58	142	0	1.76E-06	1.13E-06					
59	142	0	2.31E-11	1.48E-11					
54	143	1	2.65E-04	1.69E-04					
55	143	0	0.0140295	5.61E-04					
57	143	0	0.00379478	0.00242866					
58	143	0	3.13E-04	3.45E-05					
59	143	0	4.50E-09	2.88E-09					
60	143	0	4.80E-14	3.07E-14					
52	143	0	4.88E-12	3.12E-12					
53	143	0	1.86E-07	1.19E-07					
54	143	0	2.65E-04	1.69E-04					
56	143	0	0.041004	0.00164016					
52	144	0	5.58E-13	3.57E-13					
53	144	0	1.56E-08	9.99E-09					
54	144	0	6.05E-05	3.87E-05					
56	144	0	0.0397478	0.00111294					
59	144	1	1.28E-07	8.19E-08					
55	144	0	0.00417681	2.51E-04					
57	144	0	0.0106974	6.42E-04					
58	144	0	3.45E-04	2.21E-04					
59	144	0	1.43E-08	9.15E-09					
60	144	0	9.57E-11	1.05E-11					
55	145	0	7.56E-04	6.05E-05					
57	145	0	0.0191497	0.00153197					
58	145	0	8.54E-04	5.47E-04					
60	145	0	5.55E-10	3.55E-10					
53	145	0	8.29E-12	5.30E-12					
54	145	0	7.16E-07	4.58E-07					
56	145	0	0.0186621	0.00111973					
59	145	0	3.33E-06	2.13E-06					
53	146	0	9.02E-13	5.77E-13					
54	146	0	1.06E-07	6.78E-08					
56	146	0	0.00913827	3.66E-04					
57	146	0	0.00744941	0.00476762					
59	146	0	3.62E-05	2.32E-05					
61	146	0	4.50E-12	2.88E-12					
55	146	0	7.64E-05	8.40E-06					
57	146	1	0.00744941	0.00476762					
58	146	0	0.00582932	6.41E-04					
60	146	0	3.19E-08	2.04E-08					
55	147	0	2.24E-05	1.43E-05					
58	147	0	0.00997971	0.00109777					
60	147	0	6.72E-07	4.30E-07					
53	147	0	2.06E-13	1.32E-13					
54	147	0	1.78E-08	1.14E-08					
56	147	0	0.00243638	3.90E-04					
57	147	0	0.00643265	7.08E-04					
59	147	0	0.00359546	0.00230109					
61	147	0	2.49E-11	1.59E-11					
54	148	0	1.10E-11	7.04E-12					
56	148	0	2.22E-04	1.42E-04					
57	148	0	0.00336285	0.00215223					
59	148	1	3.89E-04	2.49E-04					
61	148	0	4.45E-11	2.85E-11					
62	148	0	1.64E-14	1.05E-14					
55	148	0	1.31E-07	8.38E-08					
58	148	0	0.0123548	0.00284161					
59	148	0	3.89E-04	2.49E-04					
60	148	0	9.93E-06	6.35E-06					
61	148	1	8.10E-11	5.18E-11					
55	149	0	3.63E-09	2.32E-09					
58	149	0	0.00697909	0.00111665					
59	149	0	0.00296816	9.50E-04					
60	149	0	6.81E-05	4.36E-05					
61	149	0	3.87E-08	2.48E-08					
54	149	0	9.52E-14	6.09E-14					
56	149	0	1.03E-05	6.61E-06					
57	149	0	7.99E-04	5.11E-04					
62	149	0	1.71E-12	1.09E-12					
56	150	0	5.02E-07	3.21E-07					
57	150	0	1.04E-04	6.67E-05					
62	150	0	1.22E-10	7.81E-11					
55	150	0	1.99E-11	1.27E-11					
58	150	0	0.00391764	0.00250729					
59	150	0	0.00218338	0.00139736					
60	150	0	3.27E-04	2.09E-04					
61	150	0	3.00E-07	1.92E-07					
55	151	0	9.47E-14	6.06E-14					
58	151	0	9.90E-04	6.34E-04					
59	151	0	0.0023856	0.00152678					
60	151	0	7.95E-04	5.09E-04					
61	151	0	6.42E-06	4.11E-06					
56	151	0	8.18E-09	5.24E-09					
57	151	0	1.03E-05	6.57E-06					
62	151	0	4.75E-09	3.04E-09					
63	151	0	2.49E-12	7.97E-13					
56	152	0	1.49E-10	9.54E-11					
57	152	0	4.53E-07	2.90E-07					
61	152	0	9.28E-06	5.94E-06					
62	152	0	9.65E-08	6.18E-08					
63	152	2	9.07E-13	5.80E-13					
63	152	1	9.07E-13	5.80E-13					
55	152	0	1.27E-15	8.11E-16					
58	152	0	2.05E-04	1.31E-04					
59	152	0	0.00102554	6.56E-04					
60	152	0	0.00140984	6.34E-04					
61	152	2	9.28E-06	5.94E-06					
61	152	1	9.28E-06	5.94E-06					
63	152	0	9.07E-13	5.80E-13					
58	153	0	1.70E-05	1.09E-05					
59	153	0	3.67E-04	2.35E-04					
60	153	0	0.00110947	4.99E-04					
61	153	0	8.80E-05	5.63E-05					
56	153	0	3.73E-13	2.39E-13					
57	153	0	1.42E-08	9.09E-09					
62	153	0	8.01E-07	5.13E-07					
63	153	0	2.33E-09	7.46E-10					
57	154	0	1.46E-10	9.34E-11					
61	154	1	5.41E-05	3.46E-05					
62	154	0	4.73E-06	3.03E-06					
63	154	1	9.70E-10	6.21E-10					
64	154	0	1.12E-13	7.17E-14					
58	154	0	9.12E-07	5.84E-07					
59	154	0	5.02E-05	3.21E-05					
60	154	0	5.80E-04	3.71E-04					
61	154	0	5.41E-05	3.46E-05					
63	154	0	9.70E-10	6.21E-10					
58	155	0	2.55E-08	1.63E-08					
59	155	0	6.73E-06	4.31E-06					
60	155	0	1.75E-04	1.12E-04					
63	155	0	2.63E-08	1.68E-08					
57	155	0	2.95E-13	1.89E-13					
61	155	0	1.26E-04	8.07E-05					
62	155	0	1.31E-05	8.38E-06					
64	155	0	4.08E-12	2.61E-12					
57	156	0	4.87E-15	3.12E-15					
61	156	0	7.06E-05	4.52E-05					
62	156	0	3.03E-05	1.94E-05					
64	156	0	1.43E-10	9.15E-11					
58	156	0	5.73E-10	3.67E-10					
59	156	0	4.07E-07	2.60E-07					
60	156	0	4.70E-05	3.01E-05					
63	156	0	1.62E-07	1.04E-07					
58	157	0	4.59E-12	2.94E-12					
59	157	0	1.65E-08	1.06E-08					
60	157	0	4.85E-06	3.10E-06					
63	157	0	6.35E-07	4.06E-07					
57	157	0	5.31E-17	3.40E-17					
61	157	0	2.93E-05	1.88E-05					
62	157	0	2.67E-05	1.71E-05					
64	157	0	1.48E-09	9.47E-10					
65	157	0	4.93E-14	3.15E-14					
61	158	0	7.06E-06	4.52E-06					
62	158	0	2.40E-05	1.53E-05					
64	158	0	1.48E-08	9.47E-09					
65	158	0	1.20E-12	7.68E-13					
58	158	0	3.87E-14	2.48E-14					
59	158	0	3.75E-10	2.40E-10					
60	158	0	5.19E-07	3.32E-07					
63	158	0	1.28E-06	8.19E-07					
65	158	1	1.33E-13	8.51E-14					
58	159	0	1.28E-16	8.20E-17					
59	159	0	4.88E-12	3.12E-12					
60	159	0	1.77E-08	1.13E-08					
63	159	0	1.56E-06	9.98E-07					
65	159	0	1.70E-11	1.09E-11					
61	159	0	1.06E-06	6.78E-07					
62	159	0	7.42E-06	4.75E-06					
64	159	0	3.71E-08	2.37E-08					
61	160	0	7.55E-08	4.83E-08					
62	160	0	2.11E-06	1.35E-06					
64	160	0	1.01E-07	6.46E-08					
59	160	0	2.82E-14	1.80E-14					
60	160	0	5.04E-10	3.23E-10					
63	160	0	9.03E-07	5.78E-07					
65	160	0	2.84E-10	1.82E-10					
66	160	0	1.93E-14	1.24E-14					
59	161	0	7.13E-17	4.56E-17					
60	161	0	6.16E-12	3.94E-12					
63	161	0	4.54E-07	2.91E-07					
65	161	0	5.96E-10	3.81E-10					
66	161	0	2.51E-13	1.61E-13					
61	161	0	4.40E-09	2.82E-09					
62	161	0	2.83E-07	1.81E-07					
64	161	0	1.11E-07	7.10E-08					
61	162	0	6.80E-11	4.35E-11					
62	162	0	2.03E-08	1.30E-08					
64	162	0	6.79E-08	4.35E-08					
65	162	1	4.52E-10	2.89E-10					
59	162	0	2.96E-19	1.89E-19					
60	162	0	3.48E-14	2.23E-14					
63	162	0	6.99E-08	4.47E-08					
65	162	0	4.52E-10	2.89E-10					
66	162	0	2.03E-12	1.30E-12					
63	163	0	1.94E-08	1.24E-08					
66	163	0	1.24E-11	7.94E-12					
61	163	0	1.82E-12	1.16E-12					
62	163	0	1.37E-09	8.77E-10					
64	163	0	3.81E-08	2.44E-08					
65	163	0	2.14E-09	1.37E-09					
61	164	0	1.66E-14	1.06E-14					
62	164	0	6.04E-11	3.87E-11					
64	164	0	1.49E-08	9.54E-09					
65	164	0	1.80E-09	1.15E-09					
63	164	0	2.01E-09	1.29E-09					
66	164	0	4.78E-11	3.06E-11					
63	165	0	3.87E-10	2.48E-10					
66	165	0	1.53E-10	9.79E-11					
62	165	0	2.55E-12	1.63E-12					
64	165	0	6.14E-09	3.93E-09					
65	165	0	2.81E-09	1.80E-09					
66	165	1	2.29E-11	1.47E-11					
67	165	0	2.05E-13	1.31E-13					
62	166	0	6.43E-14	4.11E-14					
64	166	0	1.66E-09	1.06E-09					
65	166	0	1.54E-09	9.86E-10					
66	166	0	3.98E-10	2.55E-10					
67	166	0	4.03E-13	2.58E-13					
61	166	0	5.47E-19	3.50E-19					
63	166	0	2.50E-11	1.60E-11					
67	166	1	9.41E-13	6.02E-13					
63	167	0	2.24E-12	1.43E-12					
67	167	0	1.03E-11	6.59E-12					
64	167	0	3.68E-10	2.36E-10					
65	167	0	1.34E-09	8.58E-10					
66	167	0	7.51E-10	4.81E-10					
68	167	0	1.10E-14	7.04E-15					
64	168	0	2.18E-11	1.40E-11					
65	168	0	1.73E-10	1.11E-10					
66	168	0	3.64E-10	2.33E-10					
68	168	0	6.79E-14	4.35E-14					
63	168	0	2.85E-14	1.82E-14					
67	168	0	1.16E-11	7.42E-12					
67	169	0	2.23E-11	1.43E-11					
64	169	0	1.19E-12	7.62E-13					
65	169	0	4.07E-11	2.60E-11					
66	169	0	1.74E-10	1.11E-10					
68	169	0	3.27E-13	2.09E-13					
64	170	0	2.68E-14	1.72E-14					
65	170	0	2.24E-12	1.43E-12					
66	170	0	3.73E-11	2.39E-11					
67	170	1	4.93E-12	3.15E-12					
68	170	0	6.42E-13	4.11E-13					
67	170	0	4.93E-12	3.15E-12					
65	171	0	2.92E-13	1.87E-13					
66	171	0	1.09E-11	6.98E-12					
67	171	0	1.07E-11	6.85E-12					
68	171	0	1.58E-12	1.01E-12					
65	172	0	1.05E-14	6.72E-15					
66	172	0	1.77E-12	1.13E-12					
67	172	0	3.69E-12	2.36E-12					
68	172	0	2.20E-12	1.41E-12					
69	172	0	1.68E-14	1.08E-14					